sector,n,k,silhouette,ari_mean,ari_std,stable
XLB,424,3,0.30450514360467623,0.8954621456384809,0.044264690945101076,True
XLB,424,4,0.25263145113239016,0.692365170722521,0.16922000226383052,True
XLB,424,5,0.25407207425575196,0.7215704311143573,0.15885821881133513,True
XLC,127,3,0.2797858107518259,0.6924493777892637,0.20532161658845588,True
XLC,127,4,0.28029583178668693,0.6750593063854072,0.17325132722352676,True
XLC,127,5,0.25374502298081336,0.6163075430815184,0.14721658736915558,True
XLE,424,3,0.28613870820808407,0.9013885472217392,0.06368921481056679,True
XLE,424,4,0.22768473799474767,0.6554149940428171,0.16615733934068644,True
XLE,424,5,0.23485193142451785,0.6272108010963637,0.1641959637212629,True
XLF,424,3,0.2845268250509006,0.7090575475419656,0.17591619697258148,True
XLF,424,4,0.3043436475055847,0.7200912020827664,0.16027990742929799,True
XLF,424,5,0.2615248148866807,0.7009570908409026,0.13172842200002635,True
XLI,424,3,0.2868654319030196,0.8955785658445676,0.0727590214714014,True
XLI,424,4,0.24598371645295672,0.8390253227479532,0.11416140816583477,True
XLI,424,5,0.22596604163768336,0.6053121363903209,0.14451116721563803,True
XLK,424,3,0.2973599252921135,0.8480038419276071,0.10730024507674471,True
XLK,424,4,0.2819029131774718,0.6996812811266576,0.14878537632143923,True
XLK,424,5,0.2648832115749755,0.7211766399757945,0.14312208436443924,True
XLP,424,3,0.2887502093168716,0.8106547598845224,0.10260403108506612,True
XLP,424,4,0.25854025112817375,0.829349931062389,0.11490762223603646,True
XLP,424,5,0.22825863052342862,0.6125409941961879,0.09552705357846018,True
XLRE,170,3,0.30021385414565915,0.8762457631256693,0.07534128880893924,True
XLRE,170,4,0.26652539051186175,0.5812144233652528,0.15747568316179944,True
XLRE,170,5,0.2508931534003577,0.6108296330334277,0.1828045456530136,True
XLU,424,3,0.2957194100412554,0.8783506383231742,0.06671045143515525,True
XLU,424,4,0.2641627118684501,0.7651097814184424,0.14220973485259397,True
XLU,424,5,0.2386036868782276,0.6612137617808983,0.1333541924812383,True
XLV,424,3,0.2779269281559161,0.8927313815005715,0.057929597579420934,True
XLV,424,4,0.2502892566610003,0.7610675727227797,0.10448672062089626,True
XLV,424,5,0.24661634062658908,0.6433838762165256,0.16272657088728215,True
XLY,424,3,0.24609097604398888,0.6181626079839468,0.16576422409326902,True
XLY,424,4,0.2978008446328053,0.8227278394292524,0.12800500710393573,True
XLY,424,5,0.21722309485781122,0.5684619382152869,0.12259842854850858,True
