window,level,group,rho,ci_lo,ci_hi,n_events,n_rows
1,pooled,ALL,0.008080399047934709,-0.026538456857946785,0.046937707735755875,348,3256
1,by_sector,XLK,-0.03344943102345894,-0.14744989537239817,0.07496063599399834,348,349
1,by_sector,XLC,0.21337126600284495,-0.10723218331209475,0.5059288061421375,37,37
1,by_sector,XLY,-0.023539619354064775,-0.13592700183780662,0.0790155197714767,348,349
1,by_sector,XLP,-0.057658959792556,-0.1653537584056812,0.04409983624650746,348,349
1,by_sector,XLV,-0.1222144064627229,-0.22502282232819745,-0.014600283342361279,348,349
1,by_sector,XLF,0.07966703843330986,-0.028078209016932164,0.18773098548309353,348,349
1,by_sector,XLI,0.07814842310231863,-0.031035717261910213,0.19054248219930128,348,349
1,by_sector,XLB,-0.018564810279741224,-0.12045764108119573,0.09229604600770432,348,349
1,by_sector,XLE,0.03731269127502785,-0.07784736122520865,0.1489345888370617,348,349
1,by_sector,XLU,0.0605584766373345,-0.04454372817194745,0.1583333262427174,348,349
1,by_sector,XLRE,-0.018554471661367908,-0.22879776680699845,0.19981279930466714,78,78
1,by_shock_type,policy_easing,-0.038410954715547646,-0.12523608821494284,0.04617572965546076,80,745
1,by_shock_type,no_rate_surprise,0.06762231347641136,-0.03690207539771615,0.1749720698722156,49,459
1,by_shock_type,policy_tightening,0.05079462862129555,-0.06117378386414338,0.15336019889362948,56,517
1,by_shock_type,info_positive,6.310116251631855e-05,-0.06907409748510732,0.06637513780946906,90,842
1,by_shock_type,info_negative,0.002586489162360134,-0.07199132940290558,0.07625117421188236,73,693
1,sector_x_shock,XLK|policy_easing,-0.06447567365273679,,,80,80
1,sector_x_shock,XLK|no_rate_surprise,0.34824093782635657,,,49,49
1,sector_x_shock,XLK|policy_tightening,0.10991301971905061,,,56,56
1,sector_x_shock,XLK|info_positive,0.02893034182101728,,,91,91
1,sector_x_shock,XLK|info_negative,-0.2948599284215723,,,73,73
1,sector_x_shock,XLC|policy_easing,0.049999999999999996,,,9,9
1,sector_x_shock,XLC|no_rate_surprise,0.14285714285714288,,,6,6
1,sector_x_shock,XLC|policy_tightening,,,,3,3
1,sector_x_shock,XLC|info_positive,0.09999999999999999,,,5,5
1,sector_x_shock,XLC|info_negative,0.3186813186813187,,,14,14
1,sector_x_shock,XLY|policy_easing,-0.06349113328065356,,,80,80
1,sector_x_shock,XLY|no_rate_surprise,0.2189453280898016,,,49,49
1,sector_x_shock,XLY|policy_tightening,0.02050580997949419,,,56,56
1,sector_x_shock,XLY|info_positive,0.08128909470106463,,,91,91
1,sector_x_shock,XLY|info_negative,-0.1834814266321116,,,73,73
1,sector_x_shock,XLP|policy_easing,-0.14570110822296686,,,80,80
1,sector_x_shock,XLP|no_rate_surprise,-0.24626218587275822,,,49,49
1,sector_x_shock,XLP|policy_tightening,-0.021497291481120284,,,56,56
1,sector_x_shock,XLP|info_positive,-0.11178754155888813,,,91,91
1,sector_x_shock,XLP|info_negative,0.09675428853511045,,,73,73
1,sector_x_shock,XLV|policy_easing,-0.1463214524415136,,,80,80
1,sector_x_shock,XLV|no_rate_surprise,-0.4260889703181097,,,49,49
1,sector_x_shock,XLV|policy_tightening,0.12273775999691179,,,56,56
1,sector_x_shock,XLV|info_positive,-0.21639226772483441,,,91,91
1,sector_x_shock,XLV|info_negative,-0.03680735530050599,,,73,73
1,sector_x_shock,XLF|policy_easing,0.056998857234304194,,,80,80
1,sector_x_shock,XLF|no_rate_surprise,0.06692532577960818,,,49,49
1,sector_x_shock,XLF|policy_tightening,0.09655148848730118,,,56,56
1,sector_x_shock,XLF|info_positive,0.18623578526021556,,,91,91
1,sector_x_shock,XLF|info_negative,-0.012619172509168934,,,73,73
1,sector_x_shock,XLI|policy_easing,-0.10424712696235848,,,80,80
1,sector_x_shock,XLI|no_rate_surprise,0.290897967518652,,,49,49
1,sector_x_shock,XLI|policy_tightening,-0.0026999777853871265,,,56,56
1,sector_x_shock,XLI|info_positive,0.07071471234349251,,,91,91
1,sector_x_shock,XLI|info_negative,0.0503208688140195,,,73,73
1,sector_x_shock,XLB|policy_easing,-0.05722054876798056,,,80,80
1,sector_x_shock,XLB|no_rate_surprise,0.09954843512076507,,,49,49
1,sector_x_shock,XLB|policy_tightening,-0.020369104579630898,,,56,56
1,sector_x_shock,XLB|info_positive,-0.16655982609399178,,,91,91
1,sector_x_shock,XLB|info_negative,0.04945699123781317,,,73,73
1,sector_x_shock,XLE|policy_easing,0.03936989416461424,,,80,80
1,sector_x_shock,XLE|no_rate_surprise,0.07719978592399669,,,49,49
1,sector_x_shock,XLE|policy_tightening,0.16425153793574848,,,56,56
1,sector_x_shock,XLE|info_positive,0.01763865054495084,,,91,91
1,sector_x_shock,XLE|info_negative,-0.07407750215969396,,,73,73
1,sector_x_shock,XLU|policy_easing,0.04925421264454391,,,80,80
1,sector_x_shock,XLU|no_rate_surprise,-0.22439230172333954,,,49,49
1,sector_x_shock,XLU|policy_tightening,0.029258455595351784,,,56,56
1,sector_x_shock,XLU|info_positive,0.1475355011602668,,,91,91
1,sector_x_shock,XLU|info_negative,0.1478058978444748,,,73,73
1,sector_x_shock,XLRE|policy_easing,-0.12214867177384148,,,16,16
1,sector_x_shock,XLRE|no_rate_surprise,-0.1091782866852867,,,12,12
1,sector_x_shock,XLRE|policy_tightening,-0.35757575757575755,,,10,10
1,sector_x_shock,XLRE|info_positive,-0.23632610939112486,,,18,18
1,sector_x_shock,XLRE|info_negative,0.36384186597751206,,,22,22
3,pooled,ALL,-0.007909344078096696,-0.04431237001236579,0.03006344164468875,348,3256
3,by_sector,XLK,-0.032471548349759904,-0.1413441756099878,0.06776543149646404,348,349
3,by_sector,XLC,0.2588904694167852,-0.056264562712065924,0.5336337324039103,37,37
3,by_sector,XLY,0.04622669659410162,-0.061427421864261735,0.15606863830397197,348,349
3,by_sector,XLP,-0.07661165251705188,-0.17839519353309238,0.031679953537393134,348,349
3,by_sector,XLV,-0.004440279907864444,-0.10610985675166543,0.10107856801219707,348,349
3,by_sector,XLF,-0.03955686520855221,-0.14902656954894128,0.07437201584996649,348,349
